Date,0
2005-01-31,97386.76468485918
2005-02-28,100973.47996733748
2005-03-31,99119.53553623985
2005-04-30,96695.82140979564
2005-05-31,99787.00671152523
2005-06-30,100886.62804328365
2005-07-31,104967.36832149842
2005-08-31,104512.99153012942
2005-09-30,106608.49171938612
2005-10-31,102419.52614338399
2005-11-30,107032.8105514904
2005-12-31,107301.13480595563
2006-01-31,112512.73396408718
2006-02-28,113587.23335844533
2006-03-31,114924.84327344986
2006-04-30,117183.71730432069
2006-05-31,114498.99945930527
2006-06-30,115078.14285127848
2006-07-31,117202.13530146459
2006-08-31,119545.44737114687
2006-09-30,121592.9090931203
2006-10-31,125991.33248999905
2006-11-30,129921.40876605794
2006-12-31,131198.9028800175
2007-01-31,133421.35242402757
2007-02-28,131935.72036743516
2007-03-31,133996.01609064877
2007-04-30,139240.809637829
2007-05-31,145356.21804875883
2007-06-30,141501.6687684105
2007-07-31,138132.79445948856
2007-08-31,140973.94674078986
2007-09-30,148133.65249700393
2007-10-31,152454.18355764894
2007-11-30,147098.88664922316
2007-12-31,145669.86266113957
2008-01-31,138659.27999713933
2008-02-29,136008.8899893082
2008-03-31,135706.39771332173
2008-04-30,145714.23297942564
2008-05-31,147031.8425839857
2008-06-30,136174.99916597197
2008-07-31,138479.04778784848
2008-08-31,139206.92200004138
2008-09-30,134236.65455258082
2008-10-31,106947.50650381975
2008-11-30,99280.48555185983
2008-12-31,101481.3389046577
2009-01-31,91221.49903266865
2009-02-28,82213.52228868411
2009-03-31,90275.10638235428
2009-04-30,105324.916208557
2009-05-31,114124.39525115491
2009-06-30,111873.16232808205
2009-07-31,121978.74692864652
2009-08-31,129338.31315007235
2009-09-30,134708.96735450206
2009-10-31,131667.19604194094
2009-11-30,143402.44720498545
2009-12-31,145218.9777865337
2010-01-31,139852.1142794128
2010-02-28,145048.2939887595
2010-03-31,154859.50043126958
2010-04-30,158947.59066796888
2010-05-31,148800.1457788809
2010-06-30,143231.45852990416
2010-07-31,154125.6778821821
2010-08-31,149733.52557877317
2010-09-30,160682.26524281045
2010-10-31,166500.8539121009
2010-11-30,166959.02598646126
2010-12-31,177432.944423877
2011-01-31,181624.80799441246
2011-02-28,186418.82430198064
2011-03-31,188787.6121027433
2011-04-30,195056.51199773562
2011-05-31,193310.4599543643
2011-06-30,189122.37044249405
2011-07-31,186576.21216450387
2011-08-31,178862.1133309165
2011-09-30,163471.5543635809
2011-10-31,181367.0139587727
2011-11-30,179657.75157165522
2011-12-31,182853.00795107931
2012-01-31,190660.19277674402
2012-02-29,196562.26964577465
2012-03-31,202943.5296894596
2012-04-30,199389.81933572184
2012-05-31,190283.97282764455
2012-06-30,199020.9349469771
2012-07-31,202842.25384159718
2012-08-31,204580.16190800257
2012-09-30,212924.86315457444
2012-10-31,210446.4909848448
2012-11-30,209873.8335549613
2012-12-31,214922.99199115092
2013-01-31,225770.4876735366
2013-02-28,230505.97091892397
2013-03-31,241488.63586203265
2013-04-30,247750.31551882712
2013-05-31,250654.10893448733
2013-06-30,246766.7997988756
2013-07-31,254617.49433164945
2013-08-31,245727.35458588504
2013-09-30,249809.166516938
2013-10-31,262692.98694719735
2013-11-30,268174.02133176924
2013-12-31,272007.4436343305
2014-01-31,262024.1168331376
2014-02-28,274422.3942765588
2014-03-31,279230.1657296657
2014-04-30,284550.16253861756
2014-05-31,287545.46614161436
2014-06-30,293053.9247794241
2014-07-31,287663.99631543766
2014-08-31,296481.708184918
2014-09-30,289684.59489137126
2014-10-31,293063.289313023
2014-11-30,298218.6742619255
2014-12-31,296266.7139200965
